Eiichi Ohtaki	Pacific Breeze Volume 2: Japanese City Pop, AOR & Boogie 1972-1986	no_match	
Eivind Lonning	Most, but Potentially All (composed by Jim O’Rourke)	no_match	
Eji Oyewole	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
El Anthony	Skyway Soul: Gary, Indiana	no_match	
Elderberry Jak	Maybe I'm Dreaming	no_match	
Elephant Château	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Elk Manakin	Program 2: Electric Musings from the Hoosier Flatlands & Other Distant Zones	no_match	
Elliott Smith	Either/Or (2017 Remastered and Expanded Edition) Live and Outtakes	no_match	
Elvin Spencer	Eccentric Northern Soul	no_match	
Elvis Perkins	Musicians for a Free Palestine	no_match	
Emiliano Salvador	Cuba: Music and Revolution - Culture Clash In Havana Cuba - Experiments in Latin Music 1975-85 Vol. 1	no_match	
Empath	III +	no_match	
Empress Of	Like Someone I Know: A Celebration of Margo Guryan	no_match	
Eri Ohno	Pacific Breeze Volume 2: Japanese City Pop, AOR & Boogie 1972-1986	no_match	
Eric (Showboy) Akaeze & His Royal Ericos	Nigeria 70: Lagos Jump - Original Heavyweight Afrobeat Highlife & Afro-Funk	no_match	
Eric Dolphy	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Eric Slick	Musicians for a Free Palestine	no_match	
Etubom Rex Williams & His Nigerian Artistes	Nigeria 70 - Sweet Times - Afro-Funk, Highlife & Juju From 1970s Lagos	no_match	
Etubom Rex Williams & His Nigerian Artistes	Nigeria 70: No Wahala: Highlife, Afro-Funk & Juju 1973-1987	no_match	
Eula Cooper	Eccentric Northern Soul	no_match	
Eva808	Exchange / It's Me Bitch / Too Late	no_match	
Evans	QuattroIII - Tempo	no_match	
Eyal Talmudi	The Audience	no_match	
F.O.E.	Pacific Breeze: Japanese City Pop, AOR & Boogie 1976-1986	no_match	
FA 5	Cuba: Music and Revolution - Culture Clash In Havana Cuba - Experiments in Latin Music 1973 - 85 Vol. 2	no_match	
FS Blumm	Dinner Music For Clubbers: Peter Grummich Plays Staubgold	no_match	
Fabiano do Nascimento & Sam Gendel	The Room	no_match	
Farah María	Cuba: Music and Revolution - Culture Clash In Havana Cuba - Experiments in Latin Music 1973 - 85 Vol. 2	no_match	
Fat Tony	Musicians for a Free Palestine	no_match	
Faustina Masigat	Musicians for a Free Palestine	no_match	
Fela Kuti & Africa 70	Nigeria 70: The Definitive Story of 1970s Funky Lagos	no_match	
